signal,peaks,instant_rr,time,Channel_0
76.0,0.0,1160.0,242.36,0.0
75.0,0.0,1160.0,242.37333333333333,0.0
74.0,0.0,1160.0,242.38666666666666,0.0
73.0,0.0,1160.0,242.4,0.0
72.0,0.0,1160.0,242.41333333333333,0.0
71.0,0.0,1160.0,242.42666666666668,0.0
71.0,0.0,1160.0,242.44,0.0
70.0,0.0,1160.0,242.45333333333335,0.0
69.0,0.0,1160.0,242.46666666666667,0.0
69.0,0.0,1160.0,242.48,0.0
68.0,0.0,1160.0,242.49333333333334,0.0
68.0,0.0,1160.0,242.50666666666666,0.0
67.0,0.0,1160.0,242.52,0.0
67.0,0.0,1160.0,242.53333333333333,0.0
67.0,0.0,1160.0,242.54666666666665,0.0
67.0,0.0,1160.0,242.56,0.0
68.0,0.0,1160.0,242.57333333333332,0.0
68.0,0.0,1160.0,242.58666666666667,0.0
68.0,0.0,1160.0,242.6,0.0
68.0,0.0,1160.0,242.61333333333334,0.0
68.0,0.0,1160.0,242.62666666666667,0.0
67.0,0.0,1160.0,242.64,0.0
67.0,0.0,1160.0,242.65333333333334,0.0
67.0,0.0,1160.0,242.66666666666666,0.0
66.0,0.0,1160.0,242.68,0.0
67.0,0.0,1160.0,242.69333333333333,0.0
69.0,0.0,1160.0,242.70666666666668,0.0
75.0,0.0,1160.0,242.72,0.0
86.0,0.0,1160.0,242.73333333333332,0.0
102.0,0.0,1160.0,242.74666666666667,0.0
120.0,0.0,1160.0,242.76,0.0
138.0,0.0,1160.0,242.77333333333334,0.0
154.0,0.0,1160.0,242.78666666666666,0.0
165.0,0.0,1160.0,242.8,0.0
171.0,0.0,1160.0,242.81333333333333,0.0
172.0,0.0,1160.0,242.82666666666665,0.0
170.0,1.0,1053.3333333333333,242.84,0.0
166.0,0.0,1053.3333333333333,242.85333333333332,0.0
160.0,0.0,1053.3333333333333,242.86666666666667,0.0
155.0,0.0,1053.3333333333333,242.88,0.0
150.0,0.0,1053.3333333333333,242.89333333333335,0.0
146.0,0.0,1053.3333333333333,242.90666666666667,0.0
142.0,0.0,1053.3333333333333,242.92,0.0
140.0,0.0,1053.3333333333333,242.93333333333334,0.0
137.0,0.0,1053.3333333333333,242.94666666666666,0.0
134.0,0.0,1053.3333333333333,242.96,0.0
130.0,0.0,1053.3333333333333,242.97333333333333,0.0
126.0,0.0,1053.3333333333333,242.98666666666668,0.0
123.0,0.0,1053.3333333333333,243.0,0.0
120.0,0.0,1053.3333333333333,243.01333333333332,0.0
118.0,0.0,1053.3333333333333,243.02666666666667,0.0
116.0,0.0,1053.3333333333333,243.04,0.0
115.0,0.0,1053.3333333333333,243.05333333333334,0.0
114.0,0.0,1053.3333333333333,243.06666666666666,0.0
112.0,0.0,1053.3333333333333,243.08,0.0
110.0,0.0,1053.3333333333333,243.09333333333333,0.0
108.0,0.0,1053.3333333333333,243.10666666666665,0.0
106.0,0.0,1053.3333333333333,243.12,0.0
103.0,0.0,1053.3333333333333,243.13333333333333,0.0
100.0,0.0,1053.3333333333333,243.14666666666668,0.0
97.0,0.0,1053.3333333333333,243.16,0.0
94.0,0.0,1053.3333333333333,243.17333333333335,0.0
91.0,0.0,1053.3333333333333,243.18666666666667,0.0
89.0,0.0,1053.3333333333333,243.2,0.0
87.0,0.0,1053.3333333333333,243.21333333333334,0.0
86.0,0.0,1053.3333333333333,243.22666666666666,0.0
85.0,0.0,1053.3333333333333,243.24,0.0
84.0,0.0,1053.3333333333333,243.25333333333333,0.0
83.0,0.0,1053.3333333333333,243.26666666666668,0.0
82.0,0.0,1053.3333333333333,243.28,0.0
82.0,0.0,1053.3333333333333,243.29333333333332,0.0
81.0,0.0,1053.3333333333333,243.30666666666667,0.0
81.0,0.0,1053.3333333333333,243.32,0.0
80.0,0.0,1053.3333333333333,243.33333333333334,0.0
80.0,0.0,1053.3333333333333,243.34666666666666,0.0
79.0,0.0,1053.3333333333333,243.36,0.0
78.0,0.0,1053.3333333333333,243.37333333333333,0.0
78.0,0.0,1053.3333333333333,243.38666666666666,0.0
77.0,0.0,1053.3333333333333,243.4,0.0
76.0,0.0,1053.3333333333333,243.41333333333333,0.0
75.0,0.0,1053.3333333333333,243.42666666666668,0.0
74.0,0.0,1053.3333333333333,243.44,0.0
73.0,0.0,1053.3333333333333,243.45333333333335,0.0
73.0,0.0,1053.3333333333333,243.46666666666667,0.0
72.0,0.0,1053.3333333333333,243.48,0.0
71.0,0.0,1053.3333333333333,243.49333333333334,0.0
71.0,0.0,1053.3333333333333,243.50666666666666,0.0
70.0,0.0,1053.3333333333333,243.52,0.0
70.0,0.0,1053.3333333333333,243.53333333333333,0.0
69.0,0.0,1053.3333333333333,243.54666666666665,0.0
69.0,0.0,1053.3333333333333,243.56,0.0
68.0,0.0,1053.3333333333333,243.57333333333332,0.0
68.0,0.0,1053.3333333333333,243.58666666666667,0.0
68.0,0.0,1053.3333333333333,243.6,0.0
67.0,0.0,1053.3333333333333,243.61333333333334,0.0
68.0,0.0,1053.3333333333333,243.62666666666667,0.0
72.0,0.0,1053.3333333333333,243.64,0.0
79.0,0.0,1053.3333333333333,243.65333333333334,0.0
90.0,0.0,1053.3333333333333,243.66666666666666,0.0
105.0,0.0,1053.3333333333333,243.68,0.0
121.0,0.0,1053.3333333333333,243.69333333333333,0.0
138.0,0.0,1053.3333333333333,243.70666666666668,0.0
151.0,0.0,1053.3333333333333,243.72,0.0
160.0,0.0,1053.3333333333333,243.73333333333332,0.0
164.0,0.0,1053.3333333333333,243.74666666666667,0.0
164.0,1.0,920.0,243.76,0.0
161.0,0.0,920.0,243.77333333333334,0.0
157.0,0.0,920.0,243.78666666666666,0.0
152.0,0.0,920.0,243.8,0.0
147.0,0.0,920.0,243.81333333333333,0.0
143.0,0.0,920.0,243.82666666666665,0.0
140.0,0.0,920.0,243.84,0.0
138.0,0.0,920.0,243.85333333333332,0.0
135.0,0.0,920.0,243.86666666666667,0.0
133.0,0.0,920.0,243.88,0.0
130.0,0.0,920.0,243.89333333333335,0.0
127.0,0.0,920.0,243.90666666666667,0.0
123.0,0.0,920.0,243.92,0.0
119.0,0.0,920.0,243.93333333333334,0.0
116.0,0.0,920.0,243.94666666666666,0.0
113.0,0.0,920.0,243.96,0.0
112.0,0.0,920.0,243.97333333333333,0.0
110.0,0.0,920.0,243.98666666666668,0.0
109.0,0.0,920.0,244.0,0.0
108.0,0.0,920.0,244.01333333333332,0.0
106.0,0.0,920.0,244.02666666666667,0.0
104.0,0.0,920.0,244.04,0.0
102.0,0.0,920.0,244.05333333333334,0.0
99.0,0.0,920.0,244.06666666666666,0.0
96.0,0.0,920.0,244.08,0.0
94.0,0.0,920.0,244.09333333333333,0.0
91.0,0.0,920.0,244.10666666666665,0.0
88.0,0.0,920.0,244.12,0.0
86.0,0.0,920.0,244.13333333333333,0.0
85.0,0.0,920.0,244.14666666666668,0.0
83.0,0.0,920.0,244.16,0.0
82.0,0.0,920.0,244.17333333333335,0.0
81.0,0.0,920.0,244.18666666666667,0.0
80.0,0.0,920.0,244.2,0.0
80.0,0.0,920.0,244.21333333333334,0.0
79.0,0.0,920.0,244.22666666666666,0.0
79.0,0.0,920.0,244.24,0.0
78.0,0.0,920.0,244.25333333333333,0.0
78.0,0.0,920.0,244.26666666666668,0.0
77.0,0.0,920.0,244.28,0.0
77.0,0.0,920.0,244.29333333333332,0.0
76.0,0.0,920.0,244.30666666666667,0.0
75.0,0.0,920.0,244.32,0.0
74.0,0.0,920.0,244.33333333333334,0.0
74.0,0.0,920.0,244.34666666666666,0.0
73.0,0.0,920.0,244.36,0.0
72.0,0.0,920.0,244.37333333333333,0.0
72.0,0.0,920.0,244.38666666666666,0.0
71.0,0.0,920.0,244.4,0.0
70.0,0.0,920.0,244.41333333333333,0.0
70.0,0.0,920.0,244.42666666666668,0.0
69.0,0.0,920.0,244.44,0.0
69.0,0.0,920.0,244.45333333333335,0.0
68.0,0.0,920.0,244.46666666666667,0.0
67.0,0.0,920.0,244.48,0.0
67.0,0.0,920.0,244.49333333333334,0.0
67.0,0.0,920.0,244.50666666666666,0.0
69.0,0.0,920.0,244.52,0.0
74.0,0.0,920.0,244.53333333333333,0.0
83.0,0.0,920.0,244.54666666666665,0.0
96.0,0.0,920.0,244.56,0.0
113.0,0.0,920.0,244.57333333333332,0.0
129.0,0.0,920.0,244.58666666666667,0.0
144.0,0.0,920.0,244.6,0.0
154.0,0.0,920.0,244.61333333333334,0.0
160.0,0.0,920.0,244.62666666666667,0.0
162.0,0.0,920.0,244.64,0.0
161.0,1.0,893.3333333333333,244.65333333333334,0.0
157.0,0.0,893.3333333333333,244.66666666666666,0.0
153.0,0.0,893.3333333333333,244.68,0.0
148.0,0.0,893.3333333333333,244.69333333333333,0.0
144.0,0.0,893.3333333333333,244.70666666666668,0.0
141.0,0.0,893.3333333333333,244.72,0.0
139.0,0.0,893.3333333333333,244.73333333333332,0.0
136.0,0.0,893.3333333333333,244.74666666666667,0.0
134.0,0.0,893.3333333333333,244.76,0.0
131.0,0.0,893.3333333333333,244.77333333333334,0.0
128.0,0.0,893.3333333333333,244.78666666666666,0.0
124.0,0.0,893.3333333333333,244.8,0.0
120.0,0.0,893.3333333333333,244.81333333333333,0.0
116.0,0.0,893.3333333333333,244.82666666666665,0.0
113.0,0.0,893.3333333333333,244.84,0.0
111.0,0.0,893.3333333333333,244.85333333333332,0.0
109.0,0.0,893.3333333333333,244.86666666666667,0.0
108.0,0.0,893.3333333333333,244.88,0.0
106.0,0.0,893.3333333333333,244.89333333333335,0.0
105.0,0.0,893.3333333333333,244.90666666666667,0.0
103.0,0.0,893.3333333333333,244.92,0.0
101.0,0.0,893.3333333333333,244.93333333333334,0.0
98.0,0.0,893.3333333333333,244.94666666666666,0.0
95.0,0.0,893.3333333333333,244.96,0.0
93.0,0.0,893.3333333333333,244.97333333333333,0.0
90.0,0.0,893.3333333333333,244.98666666666668,0.0
88.0,0.0,893.3333333333333,245.0,0.0
86.0,0.0,893.3333333333333,245.01333333333332,0.0
84.0,0.0,893.3333333333333,245.02666666666667,0.0
82.0,0.0,893.3333333333333,245.04,0.0
81.0,0.0,893.3333333333333,245.05333333333334,0.0
80.0,0.0,893.3333333333333,245.06666666666666,0.0
79.0,0.0,893.3333333333333,245.08,0.0
78.0,0.0,893.3333333333333,245.09333333333333,0.0
78.0,0.0,893.3333333333333,245.10666666666665,0.0
77.0,0.0,893.3333333333333,245.12,0.0
77.0,0.0,893.3333333333333,245.13333333333333,0.0
76.0,0.0,893.3333333333333,245.14666666666668,0.0
76.0,0.0,893.3333333333333,245.16,0.0
75.0,0.0,893.3333333333333,245.17333333333335,0.0
75.0,0.0,893.3333333333333,245.18666666666667,0.0
74.0,0.0,893.3333333333333,245.2,0.0
74.0,0.0,893.3333333333333,245.21333333333334,0.0
73.0,0.0,893.3333333333333,245.22666666666666,0.0
73.0,0.0,893.3333333333333,245.24,0.0
72.0,0.0,893.3333333333333,245.25333333333333,0.0
72.0,0.0,893.3333333333333,245.26666666666668,0.0
71.0,0.0,893.3333333333333,245.28,0.0
70.0,0.0,893.3333333333333,245.29333333333332,0.0
69.0,0.0,893.3333333333333,245.30666666666667,0.0
68.0,0.0,893.3333333333333,245.32,0.0
68.0,0.0,893.3333333333333,245.33333333333334,0.0
67.0,0.0,893.3333333333333,245.34666666666666,0.0
67.0,0.0,893.3333333333333,245.36,0.0
68.0,0.0,893.3333333333333,245.37333333333333,0.0
73.0,0.0,893.3333333333333,245.38666666666666,0.0
81.0,0.0,893.3333333333333,245.4,0.0
92.0,0.0,893.3333333333333,245.41333333333333,0.0
107.0,0.0,893.3333333333333,245.42666666666668,0.0
122.0,0.0,893.3333333333333,245.44,0.0
